row_id,year,geometry
1,2017,"c(-124.49029923461, 48.5136048943184)"
2,2017,"c(-123.204873106901, 48.4532005755211)"
4,2017,"c(-123.187498361424, 48.5910835612949)"
5,2017,"c(-123.218331804992, 48.4316673760354)"
10,2017,"c(-123.785000364732, 48.3158364839922)"
11,2017,"c(-123.475888573602, 48.3325164957632)"
12,2017,"c(-123.178750789931, 48.5288334803245)"
13,2017,"c(-124.019944184474, 48.3458747265961)"
14,2017,"c(-123.265956963263, 48.4267330477689)"
15,2017,"c(-123.218205608851, 48.6330871745102)"
16,2017,"c(-123.190156276731, 48.558167435382)"
19,2017,"c(-123.251659066231, 48.4479486727835)"
20,2017,"c(-123.215009017431, 48.5440850113561)"
21,2017,"c(-123.148799341304, 48.6317636396063)"
22,2017,"c(-123.160893403584, 48.3233449399708)"
23,2017,"c(-123.066510907458, 48.6340857639259)"
24,2017,"c(-122.910101542767, 48.7118207508396)"
25,2017,"c(-123.158236639593, 48.5212519144207)"
26,2017,"c(-123.294330919562, 48.511667759867)"
27,2017,"c(-123, 48.6416664123535)"
28,2017,"c(-123.564995414869, 48.8091661466657)"
29,2017,"c(-123.238321437816, 48.6202490950005)"
30,2017,"c(-123.251251418561, 48.5970840490386)"
31,2017,"c(-123.244353806899, 48.5397493679742)"
32,2017,"c(-123.15975333199, 48.4799999955952)"
33,2017,"c(-123.318495152015, 48.5883344553811)"
34,2017,"c(-123.115163868234, 48.5149409297554)"
35,2017,"c(-123.305837955856, 48.6783333094873)"
36,2017,"c(-123.207331849435, 48.5966663890313)"
37,2017,"c(-123.080635215379, 48.6792564820131)"
38,2017,"c(-123.164060805489, 48.5239186193695)"
39,2017,"c(-123.194578962303, 48.5665002417693)"
40,2017,"c(-123.232386020481, 48.5691708510313)"
41,2017,"c(-123.286667470773, 48.39333489136)"
42,2017,"c(-123.467103237513, 48.3246723253232)"
43,2017,"c(-123.505426711824, 48.4020229348945)"
44,2017,"c(-123.082176321677, 48.4570406528442)"
45,2017,"c(-122.959076687372, 48.4914172502098)"
46,2017,"c(-123.428324119626, 48.3666880287714)"
48,2017,"c(-123.249413906386, 48.665083015821)"
49,2017,"c(-123.787082488112, 49.1893349197028)"
50,2017,"c(-123.078336038275, 48.6434994754938)"
51,2017,"c(-123.083793341801, 48.4700191480664)"
52,2017,"c(-123.055416033784, 48.4596673407228)"
53,2017,"c(-123.123447613191, 48.3652954173176)"
54,2017,"c(-123.058828917476, 48.624417282523)"
55,2017,"c(-123.711377001806, 48.2636124814012)"
56,2017,"c(-123.162832994088, 48.6058333423385)"
57,2017,"c(-122.972083448616, 48.223200198151)"
58,2017,"c(-123.333421181436, 48.3520102077383)"
59,2017,"c(-123.166400483579, 48.319836132388)"
60,2017,"c(-123.217430097768, 48.5968513489195)"
61,2017,"c(-124.930003546992, 50.0516685979842)"
62,2017,"c(-123.218193743741, 48.5826549673971)"
63,2017,"c(-123.243338570905, 48.5615101801434)"
64,2017,"c(-123.967500577109, 48.3433383181994)"
66,2017,"c(-122.774576566311, 48.6633322919436)"
69,2017,"c(-123.7366539354, 48.3191695475651)"
70,2017,"c(-124.134166676623, 48.3758335384044)"
72,2017,"c(-123.199298277765, 48.5890877421544)"
73,2017,"c(-123.331745895832, 48.5220836140855)"
74,2017,"c(-123.606685321776, 48.3158678635056)"
75,2017,"c(-123.269180863044, 48.3883433763648)"
77,2017,"c(-123.698301452804, 48.2693054919)"
80,2017,"c(-125.620004656159, 48.3691673760479)"
81,2017,"c(-123.223007555646, 48.4542557945154)"
83,2017,"c(-123.205217395003, 49.0183446350669)"
86,2017,"c(-122.904000414892, 48.8657528000287)"
87,2017,"c(-123.138525126483, 48.5165118475213)"
88,2017,"c(-123.132752470155, 48.4642507523494)"
89,2017,"c(-123.340002984518, 48.3300019576578)"
90,2017,"c(-123.17274849266, 48.5215835573951)"
91,2017,"c(-123.684159819565, 48.3008397148993)"
92,2017,"c(-123.259111144462, 48.7076904125552)"
93,2017,"c(-123.420000589707, 48.4258362257893)"
